run 3000000 # for 3ns
PPPM initialization ...
  using 12-bit tables for long-range coulomb (src/kspace.cpp:342)
  G vector (1/distance) = 0.23894965
  grid = 27 24 36
  stencil order = 5
  estimated absolute RMS force accuracy = 0.022319582
  estimated relative force accuracy = 6.7214757e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 3952 1296
Generated 19 of 36 mixed pair_coeff terms from geometric mixing rule
WARNING: Inconsistent image flags (src/domain.cpp:815)
Per MPI rank memory allocation (min/avg/max) = 9.205 | 9.241 | 9.61 Mbytes
   Step         PotEng          Temp          Press            Lx             Ly             Lz          Density         Volume    
    137000  -779687.48      297.53863      20539.013      51.811448      22.400967      69.132488      2.4079335      80237.001    
    138000  -779618.63      298.67307      20462.932      51.811448      22.400967      69.132488      2.4079335      80237.001    
    139000  -779743.02      300.45141      20412.432      51.811448      22.400967      69.132488      2.4079335      80237.001    
    140000  -779659.69      296.73128      18756.182      51.811448      22.400967      69.132488      2.4079335      80237.001    
    141000  -779783.59      301.68108      19680.039      51.811448      22.400967      69.132488      2.4079335      80237.001    
    142000  -779777.22      300.94589      20017.975      51.811448      22.400967      69.132488      2.4079335      80237.001    
    143000  -779771.28      298.65046      19430.106      51.811448      22.400967      69.132488      2.4079335      80237.001    
    144000  -779793.16      302.80488      20691.506      51.811448      22.400967      69.132488      2.4079335      80237.001    
    145000  -779771.85      302.37293      21471.597      51.811448      22.400967      69.132488      2.4079335      80237.001    
    146000  -779877.5       300.51199      19624.208      51.811448      22.400967      69.132488      2.4079335      80237.001    
    147000  -779685.67      299.11592      20537.849      51.811448      22.400967      69.132488      2.4079335      80237.001    
    148000  -779689.86      298.39448      19274.484      51.811448      22.400967      69.132488      2.4079335      80237.001    
    149000  -779877.99      299.61425      20072.503      51.811448      22.400967      69.132488      2.4079335      80237.001    
    150000  -779749.88      300.7624       20474.772      51.811448      22.400967      69.132488      2.4079335      80237.001    
    151000  -779747.61      300.20793      20136.794      51.811448      22.400967      69.132488      2.4079335      80237.001    
    152000  -779763.14      304.99407      20357.346      51.811448      22.400967      69.132488      2.4079335      80237.001    
    153000  -779656.32      295.66249      20962.344      51.811448      22.400967      69.132488      2.4079335      80237.001    
    154000  -779793.68      300.52365      21468.82       51.811448      22.400967      69.132488      2.4079335      80237.001    
    155000  -779756.36      301.67126      20385.186      51.811448      22.400967      69.132488      2.4079335      80237.001    
    156000  -779782.22      297.34084      20548.454      51.811448      22.400967      69.132488      2.4079335      80237.001    
    157000  -779741.09      298.53368      19770.463      51.811448      22.400967      69.132488      2.4079335      80237.001    
    158000  -779770.48      299.82924      19885.012      51.811448      22.400967      69.132488      2.4079335      80237.001    
    159000  -779768.86      297.64529      21896.964      51.811448      22.400967      69.132488      2.4079335      80237.001    
    160000  -779863.49      302.38314      20146.276      51.811448      22.400967      69.132488      2.4079335      80237.001    
    161000  -779771.7       301.0199       19700.549      51.811448      22.400967      69.132488      2.4079335      80237.001    
    162000  -779689.64      304.47147      20357.438      51.811448      22.400967      69.132488      2.4079335      80237.001    
    163000  -779869.31      302.52336      20170.084      51.811448      22.400967      69.132488      2.4079335      80237.001    
    164000  -779753.56      299.36805      20911.732      51.811448      22.400967      69.132488      2.4079335      80237.001    
    165000  -779789.37      294.66197      20305.187      51.811448      22.400967      69.132488      2.4079335      80237.001    
    166000  -779737.15      301.07154      21061.569      51.811448      22.400967      69.132488      2.4079335      80237.001    
    167000  -779775.19      297.71934      20054.793      51.811448      22.400967      69.132488      2.4079335      80237.001    
    168000  -779684.86      300.30084      19651.273      51.811448      22.400967      69.132488      2.4079335      80237.001    
    169000  -779678.63      300.50592      19407.493      51.811448      22.400967      69.132488      2.4079335      80237.001    
    170000  -779796.82      302.46814      19939.029      51.811448      22.400967      69.132488      2.4079335      80237.001    
    171000  -779704.27      301.72377      19323.79       51.811448      22.400967      69.132488      2.4079335      80237.001    
    172000  -779849.33      299.87264      19566.483      51.811448      22.400967      69.132488      2.4079335      80237.001    
    173000  -779786.5       303.44664      20089.045      51.811448      22.400967      69.132488      2.4079335      80237.001    
    174000  -779903.96      302.13572      18145.007      51.811448      22.400967      69.132488      2.4079335      80237.001    
    175000  -779770.07      302.05505      19653.618      51.811448      22.400967      69.132488      2.4079335      80237.001    
    176000  -779870.82      299.01943      20233.155      51.811448      22.400967      69.132488      2.4079335      80237.001    
    177000  -779811.12      302.51421      20901.918      51.811448      22.400967      69.132488      2.4079335      80237.001    
    178000  -779944.55      299.56136      20359.985      51.811448      22.400967      69.132488      2.4079335      80237.001    
    179000  -779812.75      302.51694      18887.155      51.811448      22.400967      69.132488      2.4079335      80237.001    
    180000  -779900.15      298.6887       19807.747      51.811448      22.400967      69.132488      2.4079335      80237.001    
    181000  -779781         303.33715      20241.371      51.811448      22.400967      69.132488      2.4079335      80237.001    
    182000  -779884.03      300.36166      20213.699      51.811448      22.400967      69.132488      2.4079335      80237.001    
    183000  -779865.57      305.40416      18881.213      51.811448      22.400967      69.132488      2.4079335      80237.001    
    184000  -779993.05      296.14051      19998.446      51.811448      22.400967      69.132488      2.4079335      80237.001    
    185000  -779795.23      301.80247      20662.488      51.811448      22.400967      69.132488      2.4079335      80237.001    
    186000  -779768.4       296.83405      20305.334      51.811448      22.400967      69.132488      2.4079335      80237.001    
    187000  -779784.75      304.27353      20313.859      51.811448      22.400967      69.132488      2.4079335      80237.001    
    188000  -779808.68      301.37275      20279.634      51.811448      22.400967      69.132488      2.4079335      80237.001    
    189000  -779998.79      297.0542       17876.302      51.811448      22.400967      69.132488      2.4079335      80237.001    
    190000  -779906.56      298.35371      19954.163      51.811448      22.400967      69.132488      2.4079335      80237.001    
    191000  -779801.67      299.35484      18580.581      51.811448      22.400967      69.132488      2.4079335      80237.001    
    192000  -779803.41      304.59658      18509.849      51.811448      22.400967      69.132488      2.4079335      80237.001    
    193000  -779929.02      301.04407      19694.992      51.811448      22.400967      69.132488      2.4079335      80237.001    
    194000  -779794.92      302.95318      19515.568      51.811448      22.400967      69.132488      2.4079335      80237.001    
    195000  -780024.45      298.16269      20755.804      51.811448      22.400967      69.132488      2.4079335      80237.001    
    196000  -779870         304.2369       19894.398      51.811448      22.400967      69.132488      2.4079335      80237.001    
    197000  -779879.66      299.75075      21374.443      51.811448      22.400967      69.132488      2.4079335      80237.001    
    198000  -779760.5       299.09819      19706.477      51.811448      22.400967      69.132488      2.4079335      80237.001    
    199000  -779851.65      295.71136      20211.156      51.811448      22.400967      69.132488      2.4079335      80237.001    
    200000  -779805.55      296.95992      20332.286      51.811448      22.400967      69.132488      2.4079335      80237.001    
    201000  -779971.93      293.97217      20288.247      51.811448      22.400967      69.132488      2.4079335      80237.001    
    202000  -779796.34      299.26137      20074.349      51.811448      22.400967      69.132488      2.4079335      80237.001    
    203000  -779997.75      299.56804      18714.664      51.811448      22.400967      69.132488      2.4079335      80237.001    
    204000  -779800.24      299.59081      20769.188      51.811448      22.400967      69.132488      2.4079335      80237.001    
    205000  -779845.89      296.68481      19164.493      51.811448      22.400967      69.132488      2.4079335      80237.001    
    206000  -779768.99      301.55357      20987.849      51.811448      22.400967      69.132488      2.4079335      80237.001    
    207000  -779882.29      302.31219      20067.115      51.811448      22.400967      69.132488      2.4079335      80237.001    
    208000  -779947.43      298.13096      21316.342      51.811448      22.400967      69.132488      2.4079335      80237.001    
    209000  -779835.46      300.29144      20385.181      51.811448      22.400967      69.132488      2.4079335      80237.001    
    210000  -779750.54      299.96822      19079.515      51.811448      22.400967      69.132488      2.4079335      80237.001    
    211000  -779937.76      296.78093      20779.6        51.811448      22.400967      69.132488      2.4079335      80237.001    
    212000  -779785.29      301.49746      19713.908      51.811448      22.400967      69.132488      2.4079335      80237.001    
    213000  -779951.35      295.20724      20973.491      51.811448      22.400967      69.132488      2.4079335      80237.001    
    214000  -779797.64      298.59559      20279.644      51.811448      22.400967      69.132488      2.4079335      80237.001    
    215000  -779921.86      296.3547       21236.113      51.811448      22.400967      69.132488      2.4079335      80237.001    
    216000  -779798.46      299.8218       20516.797      51.811448      22.400967      69.132488      2.4079335      80237.001    
    217000  -779779.39      296.59077      20002.608      51.811448      22.400967      69.132488      2.4079335      80237.001    
    218000  -779812.35      301.12309      20449.796      51.811448      22.400967      69.132488      2.4079335      80237.001    
    219000  -779951.63      296.90435      19780.331      51.811448      22.400967      69.132488      2.4079335      80237.001    
    220000  -779804.79      300.64871      20953.493      51.811448      22.400967      69.132488      2.4079335      80237.001    
    221000  -779971.34      301.41886      20428.017      51.811448      22.400967      69.132488      2.4079335      80237.001    
    222000  -779927.24      301.16105      19370.545      51.811448      22.400967      69.132488      2.4079335      80237.001    
    223000  -779801.48      298.80024      20728.103      51.811448      22.400967      69.132488      2.4079335      80237.001    
    224000  -780011.74      300.64673      20140.136      51.811448      22.400967      69.132488      2.4079335      80237.001    
    225000  -779906.12      300.22468      18979.501      51.811448      22.400967      69.132488      2.4079335      80237.001    
    226000  -779967.17      297.3835       19316.567      51.811448      22.400967      69.132488      2.4079335      80237.001    
    227000  -779923.55      303.29495      20463.37       51.811448      22.400967      69.132488      2.4079335      80237.001    
    228000  -779972.95      303.86349      19113.717      51.811448      22.400967      69.132488      2.4079335      80237.001    
    229000  -779889.25      300.70427      20554.597      51.811448      22.400967      69.132488      2.4079335      80237.001    
    230000  -779895.6       299.61077      20593.888      51.811448      22.400967      69.132488      2.4079335      80237.001    
    231000  -779939.67      300.89804      20890.675      51.811448      22.400967      69.132488      2.4079335      80237.001    
    232000  -779836.96      299.72194      20933.69       51.811448      22.400967      69.132488      2.4079335      80237.001    
    233000  -780022.76      300.15997      21668.061      51.811448      22.400967      69.132488      2.4079335      80237.001    
    234000  -779876.6       301.883        20451.491      51.811448      22.400967      69.132488      2.4079335      80237.001    
    235000  -779880.45      300.36828      21008.232      51.811448      22.400967      69.132488      2.4079335      80237.001    
    236000  -779852.06      302.11732      21095.881      51.811448      22.400967      69.132488      2.4079335      80237.001    
    237000  -779941.06      292.63615      20546.986      51.811448      22.400967      69.132488      2.4079335      80237.001    
    238000  -779881.26      302.79519      19537.245      51.811448      22.400967      69.132488      2.4079335      80237.001    
    239000  -779811.26      296.06294      20391.244      51.811448      22.400967      69.132488      2.4079335      80237.001    
    240000  -779939.09      303.00197      19705.792      51.811448      22.400967      69.132488      2.4079335      80237.001    
    241000  -779892.26      300.58945      19752.654      51.811448      22.400967      69.132488      2.4079335      80237.001    
    242000  -779844.31      295.00639      21642.904      51.811448      22.400967      69.132488      2.4079335      80237.001    
    243000  -779930.01      301.27086      19351.731      51.811448      22.400967      69.132488      2.4079335      80237.001    
    244000  -779912.93      299.81018      20682.146      51.811448      22.400967      69.132488      2.4079335      80237.001    
    245000  -779839.83      298.9339       20743.761      51.811448      22.400967      69.132488      2.4079335      80237.001    
    246000  -779980.19      299.01093      20410.984      51.811448      22.400967      69.132488      2.4079335      80237.001    
    247000  -779778.69      299.73087      20184.677      51.811448      22.400967      69.132488      2.4079335      80237.001    
    248000  -779908.6       299.81118      19612.549      51.811448      22.400967      69.132488      2.4079335      80237.001    
    249000  -779870.47      303.1639       20003.558      51.811448      22.400967      69.132488      2.4079335      80237.001    
    250000  -779854.53      304.18942      20474.097      51.811448      22.400967      69.132488      2.4079335      80237.001    
    251000  -779981.56      301.04978      19565.944      51.811448      22.400967      69.132488      2.4079335      80237.001    
    252000  -779813.26      299.08254      20562.081      51.811448      22.400967      69.132488      2.4079335      80237.001    
    253000  -779947.9       301.71979      20526.949      51.811448      22.400967      69.132488      2.4079335      80237.001    
    254000  -779833.47      297.48408      19825.491      51.811448      22.400967      69.132488      2.4079335      80237.001    
    255000  -779874.32      298.33492      19888.01       51.811448      22.400967      69.132488      2.4079335      80237.001    
    256000  -779915.6       302.05615      21209.335      51.811448      22.400967      69.132488      2.4079335      80237.001    
    257000  -780043.82      301.81626      20632.009      51.811448      22.400967      69.132488      2.4079335      80237.001    
    258000  -779931.96      307.49528      22367.037      51.811448      22.400967      69.132488      2.4079335      80237.001    
    259000  -779902.03      296.71334      19584.772      51.811448      22.400967      69.132488      2.4079335      80237.001    
    260000  -779892.3       299.98397      20294.779      51.811448      22.400967      69.132488      2.4079335      80237.001    
    261000  -779910.28      298.64411      19926.766      51.811448      22.400967      69.132488      2.4079335      80237.001    
    262000  -779773.22      302.88182      19534.585      51.811448      22.400967      69.132488      2.4079335      80237.001    
    263000  -779947.59      298.02523      19868.352      51.811448      22.400967      69.132488      2.4079335      80237.001    
    264000  -779884.2       301.39904      19429.081      51.811448      22.400967      69.132488      2.4079335      80237.001    
    265000  -779866.36      293.75224      20295.574      51.811448      22.400967      69.132488      2.4079335      80237.001    
    266000  -780021.87      301.87216      19462          51.811448      22.400967      69.132488      2.4079335      80237.001    
    267000  -779779.53      296.77112      21301.856      51.811448      22.400967      69.132488      2.4079335      80237.001    
    268000  -779977.17      298.62682      20489.551      51.811448      22.400967      69.132488      2.4079335      80237.001    
    269000  -779809.54      304.19622      20745.481      51.811448      22.400967      69.132488      2.4079335      80237.001    
    270000  -779883.53      297.08113      20345.216      51.811448      22.400967      69.132488      2.4079335      80237.001    
    271000  -779821.82      302.35533      20012.056      51.811448      22.400967      69.132488      2.4079335      80237.001    
    272000  -779916.89      302.32008      20565.075      51.811448      22.400967      69.132488      2.4079335      80237.001    
    273000  -780012.46      297.675        20158.083      51.811448      22.400967      69.132488      2.4079335      80237.001    
    274000  -779861.23      298.9807       21437.734      51.811448      22.400967      69.132488      2.4079335      80237.001    
    275000  -780024.96      296.78626      20860.302      51.811448      22.400967      69.132488      2.4079335      80237.001    
    276000  -779921.92      299.0416       20659.355      51.811448      22.400967      69.132488      2.4079335      80237.001    
