run 3000000 # for 3ns
PPPM initialization ...
  using 12-bit tables for long-range coulomb (src/kspace.cpp:342)
  G vector (1/distance) = 0.23894965
  grid = 27 24 36
  stencil order = 5
  estimated absolute RMS force accuracy = 0.022319582
  estimated relative force accuracy = 6.7214757e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 3952 1296
Generated 19 of 36 mixed pair_coeff terms from geometric mixing rule
WARNING: Inconsistent image flags (src/domain.cpp:815)
Per MPI rank memory allocation (min/avg/max) = 9.241 | 9.267 | 9.329 Mbytes
   Step         PotEng          Temp          Press            Lx             Ly             Lz          Density         Volume    
    103000  -780371.92      303.95142      396.49596      51.474055      22.488867      73.524572      2.2700253      85111.544    
    104000  -780506.8       302.42854      633.19727      51.419811      22.485151      73.590565      2.2707574      85084.102    
    105000  -780414.84      299.96896      188.17287      51.440499      22.488641      73.682226      2.2666687      85237.582    
    106000  -780371.19      300.61613      599.32386      51.405371      22.482992      73.751498      2.2666566      85238.037    
    107000  -780291.1       298.60452      158.89542      51.408335      22.504785      73.673801      2.266719       85235.692    
    108000  -780497.84      301.88809     -712.31539      51.456023      22.446951      73.905038      2.2633491      85362.597    
    109000  -780454.86      298.36691     -454.97617      51.382875      22.500167      73.870783      2.262259       85403.73     
    110000  -780438.29      299.26653      349.14113      51.42264       22.459282      73.735823      2.2687696      85158.652    
    111000  -780328.63      302.99425      116.05009      51.41605       22.469584      73.783156      2.2665651      85241.477    
    112000  -780428.73      298.09925     -52.032648      51.391085      22.480247      73.989015      2.2602842      85478.346    
    113000  -780481.63      301.56698      453.97913      51.428058      22.449835      74.0496        2.2598685      85494.072    
    114000  -780442.93      300.26051     -449.74429      51.440945      22.477469      73.959338      2.2592787      85516.39     
    115000  -780527.78      298.09576     -137.93699      51.390303      22.519215      73.835149      2.2611095      85447.149    
    116000  -780495.15      297.54712      1002.4301      51.340129      22.467376      73.948874      2.2650526      85298.399    
    117000  -780532.97      301.97426      488.30712      51.355666      22.492545      73.864491      2.2644174      85322.324    
    118000  -780364.37      300.26356     -1331.6796      51.408592      22.487286      73.963488      2.2595868      85504.73     
    119000  -780460.99      301.1022       637.83383      51.329011      22.477963      73.939391      2.2647666      85309.171    
    120000  -780526.38      297.09502     -1456.5719      51.464595      22.453217      74.00406       2.2593135      85515.075    
    121000  -780425.56      296.48218     -1315.313       51.394067      22.508147      73.958143      2.2582938      85553.687    
    122000  -780446.96      300.17418      656.79489      51.381832      22.47444       73.916325      2.2634992      85356.938    
    123000  -780562.89      303.51241      665.17092      51.34018       22.477083      73.966447      2.2635343      85355.613    
    124000  -780567.26      302.32415     -1087.7641      51.310824      22.481904      74.009329      2.2630316      85374.573    
    125000  -780373.96      302.82405     -1870.973       51.308191      22.503999      74.090382      2.2584524      85547.678    
    126000  -780441.43      298.74319     -1036.3908      51.345086      22.514338      74.094008      2.2556826      85652.722    
    127000  -780433.33      300.86073     -1201.5368      51.378312      22.527387      73.948718      2.2573446      85589.662    
    128000  -780407.87      295.57613      400.11858      51.341498      22.476904      74.028696      2.2615909      85428.96     
    129000  -780427.78      297.26701     -592.39126      51.331217      22.47089       74.058759      2.2617308      85423.677    
    130000  -780350.17      300.18028     -1073.2009      51.296468      22.488056      74.334405      2.2531491      85749.035    
    131000  -780449.48      299.43621     -29.723194      51.30639       22.493124      74.120987      2.2586906      85538.657    
    132000  -780489.54      300.91306     -696.46004      51.303668      22.499208      74.163777      2.2568967      85606.647    
    133000  -780542.64      295.81454     -253.24027      51.308807      22.499076      74.044825      2.2603092      85477.402    
    134000  -780425.34      298.51579     -926.16857      51.363376      22.484413      74.115651      2.2572213      85594.337    
    135000  -780421.29      299.79799     -416.56679      51.290942      22.51009       74.12031       2.2576886      85576.62     
    136000  -780503.76      301.94225     -255.77911      51.358123      22.482682      74.087838      2.2584734      85546.882    
    137000  -780518.55      300.54294      42.721379      51.395154      22.455544      74.045506      2.2608654      85456.372    
    138000  -780443.77      301.58892     -4.4557981      51.342617      22.493121      74.140732      2.2564961      85621.845    
    139000  -780567.26      301.02326     -738.62421      51.314956      22.48939       74.059029      2.2605781      85467.234    
    140000  -780473.93      298.6974      -1565.8203      51.426489      22.52301       73.937409      2.2560132      85640.171    
    141000  -780541.47      299.29596     -217.23902      51.42428       22.484216      74.147742      2.2535919      85732.186    
    142000  -780409.65      301.42486      758.02914      51.42691       22.470055      74.072099      2.2571996      85595.16     
    143000  -780388.83      301.39301     -228.09253      51.403385      22.502047      74.031303      2.2562646      85630.629    
    144000  -780483.99      301.5148      -517.18692      51.339246      22.503362      73.98668       2.2603138      85477.229    
    145000  -780542.97      302.85241      884.28852      51.349034      22.484523      73.982501      2.2619042      85417.128    
